,Ticker,Name ,RetYTD,ggroup,Industry
582,EFX,Equifax Inc ,-0.261,2020,Commercial  & Professional Services
583,EGAN,Egain Corp ,0.1072,4510,Software & Services
584,EGBN,Eagle Bancorp Inc ,-0.072,4010,Banks
585,EGHT,8X8 Inc ,-0.3443,4510,Software & Services
586,EGLE,Eagle Bulk Ship ,0.4958,2030,Transportation
587,EGP,Eastgroup Properties ,-0.126,6010,Real Estate
588,EGRX,Eagle Pharmaceuticals ,-0.0094,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
589,EHTH,Ehealth Inc ,-0.6314,4030,Insurance
590,EIG,Employers Holdings Inc ,-0.0022,4030,Insurance
591,EIX,Edison International ,0.0526,5510,Utilities
592,EL,Estee Lauder Companies ,-0.2872,3030,Household & Personal Products
593,ELF,E.L.F. Beauty Inc ,-0.2291,3030,Household & Personal Products
594,ELS,Equity Lifestyle Properties ,-0.1018,6010,Real Estate
595,ELY,Callaway Golf Company ,-0.1873,2520,Consumer Durables & Apparel
596,EME,Emcor Group ,-0.0827,2010,Capital Goods
597,EMKR,Emcore Corp ,-0.4728,4520,Technology Hardware & Equipment
598,EMN,Eastman Chemical Company ,-0.1075,1510,Materials
599,EMR,Emerson Electric Company ,-0.0012,2010,Capital Goods
600,ENDP,Endo Int'l Plc ,-0.2952,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
601,ENPH,Enphase Energy Inc ,0.0414,4530,Semiconductors & Semiconductor Equipment
602,ENR,Energizer Holdings Inc ,-0.2431,3030,Household & Personal Products
603,ENS,Enersys Inc ,-0.1199,2010,Capital Goods
604,ENSG,The Ensign Group IN ,0.0166,3510,Health Care Equipment & Services
605,ENTA,Enanta Pharmaceutica ,-0.0071,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
606,ENTG,Entegris Inc ,-0.2054,4530,Semiconductors & Semiconductor Equipment
607,ENV,Envestnet Inc ,0.046,4510,Software & Services
608,ENVA,Enova International Inc ,-0.0833,4020,Diversified Financials
609,EOG,Eog Resources ,0.384,1010,Energy
610,EPAM,Epam Systems Inc ,-0.5661,4510,Software & Services
611,EPAY,Bottomline Tech IN ,0.006,4510,Software & Services
612,EPC,Edgewell Personal Care ,-0.2004,3030,Household & Personal Products
613,EPR,Entertainment Properties Trust ,0.1253,6010,Real Estate
614,EPZM,Epizyme Inc ,-0.6943,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
615,EQBK,Equity Bncsrs Cm A ,-0.0914,4010,Banks
616,EQC,Equity Commonwealth ,0.0552,6010,Real Estate
617,EQIX,Equinix Inc ,-0.1308,6010,Real Estate
618,EQR,Equity Residential ,-0.0008,6010,Real Estate
619,EQT,Eqt Corp ,0.9422,1010,Energy
620,ERIE,Erie Indemnity Company ,-0.0307,4030,Insurance
621,ERII,Energy Recovery Inc ,-0.0544,2010,Capital Goods
622,ES,Eversource Energy ,0.0178,5510,Utilities
623,ESE,Esco Technologies Inc ,-0.2826,2010,Capital Goods
624,ESGR,Enstar Group Ltd ,0.0184,4030,Insurance
625,ESNT,Essent Group Ltd ,-0.0843,4010,Banks
626,ESPR,Esperion Theraptc ,0.178,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
627,ESRT,Empire State Realty Trust Inc ,0.0,6010,Real Estate
628,ESS,Essex Property Trust ,-0.0191,6010,Real Estate
629,ESTE,Earthstone Energy ,0.2578,1010,Energy
630,ETN,Eaton Corp ,-0.1904,2010,Capital Goods
631,ETR,Entergy Corp ,0.1025,5510,Utilities
632,ETSY,Etsy Inc ,-0.4711,2550,Retailing
633,EVBG,Everbridge Inc ,-0.2604,4510,Software & Services
634,EVC,Entravision Communications Corp ,-0.1844,5020,
635,EVH,Evolent Health Inc Cl A Com ,0.0961,3510,Health Care Equipment & Services
636,EVR,Evercore Partners Inc ,-0.2188,4020,Diversified Financials
637,EVRI,Everi Holdings Inc ,-0.0951,2530,Consumer Services
638,EVTC,Evertec Inc ,-0.1853,4510,Software & Services
639,EW,Edwards Lifesciences Corp ,-0.0736,3510,Health Care Equipment & Services
640,EWBC,East West Bancorp ,-0.0473,4010,Banks
641,EXAS,Exact Sciences Cor ,-0.1056,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
642,EXC,Exelon Corp ,0.1884,5510,Utilities
643,EXEL,Exelixis Inc ,0.2631,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
644,EXLS,Exlservice Holdings ,0.0065,4510,Software & Services
645,EXP,Eagle Materials Inc ,-0.2563,1510,Materials
646,EXPD,Expeditors Intl ,-0.28,2030,Transportation
647,EXPE,Expedia Group Inc ,0.0599,2530,Consumer Services
648,EXPO,Exponent Inc ,-0.076,2020,Commercial  & Professional Services
649,EXPO,Exponent Inc ,-0.076,2020,Commercial  & Professional Services
650,EXR,Extra Space Storage Inc ,-0.0625,6010,Real Estate
651,EXTR,Extreme Networks ,-0.2637,4520,Technology Hardware & Equipment
652,EZPW,Ezcorp Inc ,-0.0312,4020,Diversified Financials
653,F,Ford Motor Company ,-0.2547,2510,Automobiles & Components
654,FAF,First American Corp ,-0.256,4030,Insurance
655,FANG,Diamondback Energy ,0.2836,1010,Energy
656,FARO,Faro Tech Inc ,-0.3605,4520,Technology Hardware & Equipment
657,FAST,Fastenal Company ,-0.1257,2010,Capital Goods
658,FATE,Fate Therapeutics ,-0.3545,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
659,FB,Meta Platforms Inc ,-0.3751,5020,
660,FBC,Flagstar Bancorp ,-0.1727,4010,Banks
661,FBHS,Fortune Brands Home & Security ,-0.3486,2010,Capital Goods
662,FBK,Fb Financial Corp ,-0.0582,4010,Banks
663,FBMS,First Bancshs [Ms] ,-0.1543,4010,Banks
664,FBNC,First Bancorp [Nc] ,-0.1527,4010,Banks
665,FBP,First Bancorp ,-0.0522,4010,Banks
666,FC,Franklin Covey Company ,-0.0485,2020,Commercial  & Professional Services
667,FC,Franklin Covey Company ,-0.0485,2020,Commercial  & Professional Services
668,FCBC,First Community Bksh ,-0.1855,4010,Banks
669,FCEL,Fuelcell Energy Inc ,0.0115,2010,Capital Goods
670,FCF,First Commonwealth Financial Corp ,-0.1019,4010,Banks
671,FCFS,Firstcash Holdings Inc ,-0.009,4020,Diversified Financials
672,FCN,Fti Consulting ,0.0621,2020,Commercial  & Professional Services
673,FCN,Fti Consulting ,0.0621,2020,Commercial  & Professional Services
674,FCNCA,First Citizens Bancs ,-0.2313,4010,Banks
675,FCPT,Four Corners Property Trust IN ,-0.0136,6010,Real Estate
676,FCX,Freeport-Mcmoran Inc ,0.1788,1510,Materials
677,FDP,Fresh Del Monte Produce ,-0.037,3020,"Food, Beverage & Tobacco"
678,FDS,Factset Research Systems Inc ,-0.1346,4020,Diversified Financials
679,FDX,Fedex Corp ,-0.2045,2030,Transportation
680,FE,Firstenergy Corp ,0.1397,5510,Utilities
681,FELE,Franklin Electric Company ,-0.1687,2010,Capital Goods
682,FFBC,First Finl Bncp [Oh] ,-0.1066,4010,Banks
683,FFIC,Flushing Finl Corp ,-0.1305,4010,Banks
684,FFIN,First Finl Bkshs Inc ,-0.1778,4010,Banks
685,FFIV,F5 Inc ,-0.1846,4520,Technology Hardware & Equipment
686,FFWM,First Foundation ,-0.0664,4010,Banks
687,FGEN,Fibrogen Inc CS ,-0.1617,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
688,FHB,First Hawaiian Inc ,-0.0124,4010,Banks
689,FHN,First Horizon Corp ,0.4109,4010,Banks
690,FIBK,First Interstate Ban ,-0.1554,4010,Banks
691,FICO,Fair Isaac and Company ,-0.046,4510,Software & Services
692,FIS,Fidelity National Information Services ,-0.0614,4510,Software & Services
693,FISI,Financial Institut ,-0.0802,4010,Banks
694,FISV,Fiserv Inc ,-0.0397,4510,Software & Services
695,FITB,Fifth Third Bancorp ,-0.1042,4010,Banks
696,FIVE,Five Below Inc ,-0.1322,2550,Retailing
697,FIVN,Five9 Inc ,-0.1735,4510,Software & Services
698,FIX,Comfort Systems USA ,-0.1048,2010,Capital Goods
699,FIZZ,Natl Beverage Cp ,0.0443,3020,"Food, Beverage & Tobacco"
700,FL,Footlocker Inc ,-0.3032,2550,Retailing
701,FLGT,Fulgent Genetics Inc ,-0.442,3510,Health Care Equipment & Services
702,FLIC,First of Long Isla ,-0.1186,4010,Banks
703,FLL,Full House Rsts ,-0.2089,2530,Consumer Services
704,FLO,Flowers Foods ,-0.0251,3020,"Food, Beverage & Tobacco"
705,FLR,Fluor Corp ,0.2111,2010,Capital Goods
706,FLS,Flowserve Corp ,0.167,2010,Capital Goods
707,FLT,Fleetcor Technologies ,0.1556,4510,Software & Services
708,FLWS,1-800-Flowers.com ,-0.4266,2550,Retailing
709,FMBH,First Mid Ill Bncshr ,-0.1306,4010,Banks
710,FMC,FMC Corp ,0.2448,1510,Materials
711,FMNB,Farmers Natl Banc Cp ,-0.1375,4010,Banks
712,FN,Fabrinet ,-0.1946,4520,Technology Hardware & Equipment
713,FNB,F.N.B. Corp ,-0.0016,4010,Banks
714,FNF,Fidelity National Financial ,-0.1913,4030,Insurance
715,FNLC,First Bancorp Inc ,-0.0755,4010,Banks
716,FOE,Ferro Corp ,-0.0041,1510,Materials
717,FOLD,Amicus Therapeutics ,-0.2909,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
718,FORM,Formfactor Inc ,-0.2126,4530,Semiconductors & Semiconductor Equipment
719,FORR,Forrester Resrch ,-0.0507,2020,Commercial  & Professional Services
720,FORR,Forrester Resrch ,-0.0507,2020,Commercial  & Professional Services
721,FOSL,Fossil Group ,0.0496,2520,Consumer Durables & Apparel
722,FOXA,Fox Corp Cl A ,0.0602,5020,
723,FOXF,Fox Factory Cp ,-0.4645,2510,Automobiles & Components
724,FPI,Farmland Partners Inc ,0.2092,6010,Real Estate
725,FR,First Industrial Realty Trust ,-0.0698,6010,Real Estate
726,FRC,First Republic Bank ,-0.2216,4010,Banks
727,FRME,First Merchants Corp ,-0.0487,4010,Banks
728,FRO,Frontline Ltd ,0.338,1010,Energy
729,FRPT,Freshpet Inc CS ,0.1848,3020,"Food, Beverage & Tobacco"
730,FRT,Federal Realty Investment Trust ,-0.0958,6010,Real Estate
731,FSLR,First Solar Inc ,-0.1037,4530,Semiconductors & Semiconductor Equipment
732,FSP,Franklin Street Properties ,-0.0689,6010,Real Estate
733,FSS,Federal Signal Corp ,-0.2312,2010,Capital Goods
734,FTNT,Fortinet Inc ,-0.0769,4510,Software & Services
735,FTV,Fortive Corp ,-0.2374,2010,Capital Goods
736,FUL,H. B. Fuller Company ,-0.1321,1510,Materials
737,FULT,Fulton Financial Cor ,-0.0676,4010,Banks
738,FWONK,Liberty Media F1 Series K ,0.0857,5020,
739,FWRD,Foward Air Corp ,-0.2497,2030,Transportation
